callsign,shipType,fuel,pax,stons,lat,long,shortname,name
AB123,Cargo,200,0,50000,34.0522,-118.2437,CARG1,Cargo Ship 1
AB124,Cargo,210,,51000,34.0622,-118.2537,CARG1,Cargo Ship 1
AB125,Cargo,,0,55000,34.0722,-118.2637,CARG1,Cargo Ship One
AB126,Cargo,230,0,53000,,-118.2737,CARG2,
XY789,Passenger,500,200,,40.7128,-74.0060,PASS1,Passenger Ship 1
XY790,Passenger,510,201,30100,40.7228,-74.0160,,Passenger Ship 1
XY791,Passenger,,250,35000,40.7328,-74.0260,PASS2,Passenger Ship 2
CD456,Tanker,1000,10,,37.7749,-122.4194,TANK1,Tanker 1
CD457,Tanker,1005,,120500,37.7849,-122.4294,TNK1,Tanker 1
CD458,Tanker,1100,12,130000,37.7949,-122.4394,TANK2,
GH901,Fishing,100,5,20000,34.0522,-118.2437,FISH1,Fishing Ship 1
GH902,Fishing,95,,19900,34.0522,-118.2437,FISH1,
GH903,Fishing,110,5,21000,34.0522,-118.2437,,Fishing Ship 2
JK234,Research,300,50,40000,47.6062,-122.3321,RES1,Research Ship 1
JK235,Research,310,49,40500,47.6162,-122.3421,,Research Ship 2
JK236,Research,,51,41000,47.6262,-122.3521,RES1,Research Ship One
MN567,Military,700,,80000,41.8781,-87.6298,MIL1,Military Ship 1
MN568,Military,710,99,80500,41.8881,-87.6398,MIL2,
MN569,Military,,101,81000,41.8981,-87.6498,MIL1,Military Ship 1
QR123,Freight,,20,60000,29.7604,-95.3698,FRT1,Freight Ship 1
QR124,Freight,410,21,,29.7704,-95.3798,FRT2,Freight Ship 2
QR125,Freight,420,22,61500,,,FRT1,Frieght Ship 1
ST789,Yacht,150,8,15000,25.7617,-80.1918,YCH1,Yacht 1
ST790,Yacht,155,,14900,25.7717,-80.2018,YCH2,Yacht 2
ST791,Yacht,,9,15100,25.7817,-80.2118,YCH1,Yaht 1
UV345,Submarine,200,15,30000,37.7749,-122.4194,SUB1,
UV346,Submarine,205,14,,37.7849,-122.4294,SUB2,Submarine 2
UV347,Submarine,220,,30100,37.7949,-122.4394,SUB1,Submrine 1
WX901,Container,450,30,70000,,-118.2437,CONT1,Container Ship 1
WX902,Container,,29,70500,34.0622,-118.2537,CONT2,Container Ship 2
