callsign,ship_type,fuel,passengers,weight,lat,long,shortname,name
AB123,Cargo,200,0,50000,34.0522,-118.2437,CARG1,Cargo Ship 1
AB124,Cargo,210,,51000,34.0622,-118.2537,CARG1,Cargo Ship 1
ER567,Cargo,,0,48000,34.0522,-118.2537,CARG1,Cargo Ship One
AB126,Cargo,230,0,53000,,-118.2737,CARG2,
XY798,Passenger,520,,31000,40.7328,-74.0360,PASS1,Passenger Ship One
XY790,Passenger,510,201,30100,40.7228,-74.0160,,Passenger Ship 1
GH910,Fishing,85,4,19000,,-118.2437,FISH2,Fishing Ship Two
CD456,Tanker,1000,10,,37.7749,-122.4194,TANK1,Tanker 1
CD457,Tanker,1005,,120500,37.7849,-122.4294,TNK1,Tanker 1
CD458,Tanker,1100,12,130000,37.7949,-122.4394,TANK2,
GH901,Fishing,100,5,20000,34.0522,-118.2437,FISH1,Fishing Ship 1
JK239,Research,320,47,39500,47.6062,-122.3321,,Research Ship 2
GH903,Fishing,110,5,21000,34.0522,-118.2437,,Fishing Ship 2
MN577,Military,720,95,80500,41.8981,-87.6598,MIL3,Military Ship 3
JK235,Research,310,49,40500,47.6162,-122.3421,,Research Ship 2
JK236,Research,,51,41000,47.6262,-122.3521,RES1,Research Ship One
QR134,Freight,430,24,62500,29.7904,-95.3898,FRT3,Freight Ship 3
ST799,Yacht,165,12,15300,25.8017,-80.2218,YCH2,Yacht 2
MN569,Military,,101,81000,41.8981,-87.6498,MIL1,Military Ship 1
UV355,Submarine,215,18,30500,37.8149,-122.4494,SUB3,Submarine 3
WX911,Container,470,32,71500,34.0722,-118.2737,CONT3,Container Ship 3
QR124,Freight,410,21,,29.7704,-95.3798,FRT2,Freight Ship 2
QR125,Freight,420,22,61500,,,FRT1,Frieght Ship 1
ST789,Yacht,150,8,15000,25.7617,-80.1918,YCH1,Yacht 1
ST790,Yacht,155,,14900,25.7717,-80.2018,YCH2,Yacht 2
ST791,Yacht,,9,15100,25.7817,-80.2118,YCH1,Yaht 1
UV345,Submarine,200,15,30000,37.7749,-122.4194,SUB1,
UV346,Submarine,205,14,,37.7849,-122.4294,SUB2,Submarine 2
AB136,Cargo,235,1,53500,34.0922,-118.2837,CARG3,Cargo Ship Three
CD467,Tanker,1110,13,131000,37.8049,-122.4494,TNK2,Tanker Two
